id	name	latitude	longitude	streetAddress	addressLocality	addressRegion	postalCode	AddressCountry	facility	type
newcastle-upon-tyne-combined-court-centre	Newcastle upon Tyne Combined Court Centre	54.96987498111234	-1.603550896386792						Baby changing facility,Children facilities,Guide dogs,Interview room,Loop Hearing,Wireless network connection,Video facilities,Refreshments,Disabled access	Family court,Crown Court
stoke-on-trent-combined-court	Stoke-on-Trent Combined Court	53.02207231001854	-2.175754053789599						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Wireless network connection,Video facilities,Refreshments,Disabled access,Parking	Crown Court
pontypridd-county-court-and-family-court	Pontypridd County Court and Family Court	51.59984885006039	-3.344248040223552						Guide dogs,Loop Hearing,Interview room,Refreshments,Disabled access,Video facilities	County Court
wakefield-pontefract-magistrates-court	Wakefield & Pontefract Magistrates Court	53.6839819286625	-1.502269186664007						Baby changing facility,Interview room,Loop Hearing,Video facilities,Refreshments,Disabled access,Guide dogs,Disabled toilet,First Aid,Prayer / Quiet room,Public toilets,Witness care	Magistrates Court
banbury-county-court	Banbury County Court	52.06393067136082	-1.340885747340279						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Refreshments,Disabled access	County Court
warwick-combined-court	Warwick Combined Court	52.28883110129277	-1.533936266242453						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Video facilities,Refreshments,Disabled access,Wireless network connection	Crown Court,County Court
sunderland-county-court-and-family-court	Sunderland County Court and Family Court	54.90487886148372	-1.380346272152278						Baby changing facility,Children facilities,Interview room,Loop Hearing,Video facilities,Guide dogs	County Court,Family court
worcester-combined-court	Worcester Combined Court	52.19694923858398	-2.221883334570114						Baby changing facility,Guide dogs,Loop Hearing,Wireless network connection,Refreshments,Disabled access,Interview room	Crown Court
rolls-building	Rolls Building	51.51589484564764	-0.1096764407820697						Wireless network connection,Baby changing facility,Loop Hearing,Guide dogs,Video facilities,Interview room	
carmarthen-county-court-and-family-court	Carmarthen County Court and Family Court	51.85497770950421	-4.317893998529196						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Disabled access,Video facilities,Prayer / Quiet room,Disabled toilet,Public toilets,First Aid,Waiting Room	County Court
royal-courts-of-justice	Royal Courts of Justice	51.5141431141754	-0.1137417030619409						Guide dogs,Loop Hearing,Interview room,Disabled access,Baby changing facility,Refreshments,Video facilities	
patents-court	Patents Court	51.51589484564764	-0.1096764407820697						Wireless network connection	
avon-somerset-fixed-penalty-office	Avon & Somerset Fixed Penalty Office	51.02345117148301	-3.109703548008371							
welshpool-magistrates-court-and-family-court	Welshpool Magistrates' Court and Family Court	52.65895976208425	-3.146222531470546						Guide dogs,Disabled access,Baby changing facility,Refreshments,Loop Hearing,Parking,Prayer / Quiet room,Video facilities,Interview room	Magistrates Court
torquay-and-newton-abbot-county-court-and-family-court	Torquay and Newton Abbot County Court and Family Court	50.48676764508546	-3.551807218834174						Baby changing facility,Interview room,Loop Hearing,Parking,Refreshments,Disabled access	Family court,Magistrates Court,County Court
york-county-court-and-family-court	York County Court and Family Court	53.95468144139429	-1.076368278438409						Interview room,Disabled access,Video facilities,Loop Hearing,Public toilets,Guide dogs,Disabled toilet,Baby changing facility,Refreshments	Family court,County Court
caernarfon-magistrates-court-and-family-court	Caernarfon Magistrates' Court and Family Court	53.14043024078838	-4.264335617925146						Guide dogs,Interview room,Loop Hearing,Refreshments,Baby changing facility,Disabled access,Prayer / Quiet room,Wireless network connection,Parking,Video facilities	Magistrates Court
traffic-enforcement-centre-tec	Traffic Enforcement Centre (TEC)	52.23730179858217	-0.8999654576044167						Guide dogs,Parking,Disabled access	
brighton-district-probate-registry	Brighton District Probate Registry	50.82301624689145	-0.1352277390938858						Guide dogs	
carmarthen-probate-sub-registry	Carmarthen Probate Sub-Registry	51.8549784782771	-4.317894667775999						Guide dogs	
south-shields-county-court-and-family-court	South Shields County Court and Family Court	54.99302385114902	-1.439086022022767						Loop Hearing,Parking,Refreshments,Disabled access,Interview room,Guide dogs,Baby changing facility,Video facilities	County Court,Family court
lavender-hill-magistrates-court-formerly-south-western-magistrates-court	Lavender Hill Magistrates' Court (formerly South Western Magistrates' Court)	51.46461234716006	-0.1624589920716265						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Video facilities,Disabled access	Magistrates Court
teesside-combined-court-centre	Teesside Combined Court Centre	54.57520891853945	-1.231232180481667						Baby changing facility,Children facilities,Interview room,Loop Hearing,Wireless network connection,Video facilities,Refreshments,Disabled access,Guide dogs,Parking	Crown Court
basildon-combined-court	Basildon Combined Court	51.57257094213568	0.4548071888906972						Guide dogs,Interview room,Loop Hearing,Wireless network connection,Video facilities,Refreshments,Disabled access	Crown Court,County Court
taunton-county-court-and-family-court	Taunton County Court and Family Court	51.01277807674551	-3.107695332686885						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Refreshments,Disabled access	County Court,Crown Court,Family court
leeds-combined-court-centre	Leeds Combined Court Centre	53.80043988015357	-1.551754185296844						Baby changing facility,Guide dogs,Interview room,Loop Hearing,Wireless network connection,Refreshments,Disabled access,Video facilities,Disabled toilet,First Aid,Prayer / Quiet room,public pay phone,Public toilets	Crown Court,Family court,County Court
aberystwyth-justice-centre	Aberystwyth Justice Centre	52.40906995738605	-4.087099827073842						Interview room,Video facilities,Refreshments,Disabled access,Video facilities	
mansfield-magistrates-court-county-court-and-family-court	Mansfield Magistrates' Court, County Court and Family Court	53.14863829636502	-1.205728640405643						Baby changing facility,Children facilities,Guide dogs,Interview room,Loop Hearing,Parking,Video facilities,Refreshments,Disabled access	County Court,Magistrates Court,Family court
wales-employment-tribunal	Wales Employment Tribunal	51.48532678070784	-3.175177879806764						Interview room,Loop Hearing,Disabled access,Disabled toilet,Guide dogs,Public toilets,Refreshments,Waiting Room	Tribunal
manchester-employment-tribunal	Manchester Employment Tribunal	53.48337627228552	-2.247850386520655						Loop Hearing,Interview room,No parking,Refreshments,Video facilities	Tribunal
dudley-county-court-and-family-court	Dudley County Court and Family Court	52.45402036520227	-2.142960695236732						Refreshments,Baby changing facility,Guide dogs,Interview room,Disabled access	Family court,County Court
wrexham-county-court-and-family-court	Wrexham County Court  and Family Court	53.04845954089615	-2.98952792283808						Video facilities	County Court,Family court
north-liverpool-community-justice-centre	North Liverpool Community Justice Centre	53.44892144239314	-2.989101618651651						Baby changing facility,Loop Hearing,Interview room,Refreshments,Disabled access,Parking,Video facilities	Magistrates Court
weymouth-and-dorchester-combined-court-centre	Weymouth and Dorchester Combined Court Centre	50.60840159258562	-2.460105033875808						Children facilities,Guide dogs,Interview room,Loop Hearing,Parking,Refreshments,Disabled access,Baby changing facility	County Court,Family court,Crown Court
